name,category,status,expected_type,default_value,effect_role,remarks,target_parameters,source_paths,milestones,source_inventory
PREFLIGHT_ONLY,Alias runner / validation | Runner qualification 0493x7i / préflight,ajout/normalisé 0493w4–0493w8 | profil final x7q/x7i,booléen/int | booléen,0,Génère et valide les six branches sans exécuter les pas physiques. | Contrôle le runner de qualification physique sans ajouter de clé backend propre.,Variable de script x7i; le runner transmet ensuite les paramètres/gates canoniques appropriés par mode. Profil gelé pour éviter le retour à des cas Poiseuille pathologiques.,,scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_0493x7i_q6_g_f_physical_qualification.sh;scripts/run_ok_injection_type1_into_type2.sh,x7i;x7q,delta runners 0493w4–0493w8 / branche surf commit caa5b6b | mise à jour runner qualification 0493x7q
PROJECTION_MOMENTUM_CORRECTION_ENABLE,Alias runner / projection Q6,documenté 0493w8,booléen,false dans 0493w8,Écrit projectionMomentumCorrectionEnable dans params.kv.,Désactivé dans les branches Q6 historique et independent_masked afin de comparer le même opérateur sans patch uniforme de moment.,projectionMomentumCorrectionEnable,doc/README_0493W8_TG_MONO_DUAL_IDENTICAL_EQUIVALENCE.md;scripts/run_0493w8_tg_mono_dual_equivalence.sh,,delta runner 0493w8 / branche surf commit caa5b6b
PROJECTION_TOLERANCE,Alias script projection Q6,documenté x5b–x6g; profil de qualification final x7q/x7i,double >0,1.0e-5 dans la qualification finale,Alias shell écrit projectionTolerance dans params.kv généré.,Le défaut C++ reste 1e-10. La campagne finale TG/Poiseuille/bend/io utilise 1e-5; le dam-break Q6-g-f est également qualifié à 1e-5.,projectionTolerance,scripts/run_0493x7i_q6_g_f_physical_qualification.sh;scripts/run_ok_dambreak.sh;scripts/src_mpcd_run_common_0434.sh,x5b;x6g;x7f;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
PUDDLE_DEPTH_CELLS,Alias runner — splash x9s,ajout 0493x9s,double >=0,40,Profondeur de la flaque liquide initiale pour TARGET=puddle.,Sans effet pour TARGET=wall.,,scripts/generate_0493x9s_splash_state.py;scripts/run_0493x9s_splash.sh,x9s,cycle_0493x9_surface_tension_20260819
Q6_DENSITY_RELAXATION_BETA,Alias runner Q6-g-f / restauration de densité,ajout runner 0493x7c; conservé 0493x7d/x7e,"double [0,1]",0.0,Alias shell écrit q6DensityRelaxationBeta dans params.kv.,Entrée par pas legacy. Dans les qualifications x7d/x7e elle est mise à 0 lorsque Q6_DENSITY_RELAXATION_TIME est utilisée.,q6DensityRelaxationBeta,doc/README_0493X7C_Q6_DENSITY_RELAXATION_RHS.md;scripts/run_0493x5a_partial_liquid_free_surface.sh;scripts/run_0493x5b_liquid_gas_free_surface_dam_break.sh,x7d;x7e,mise à jour 0493x6h–0493x7e / Q6-g-f
Q6_DENSITY_RELAXATION_TIME,Alias runner historique Q6-g-f / restauration de densité,ajout 0493x7d; remplacé dans le helper commun par profil Q6_GF; valeur physique toujours qualifiée x7q,double >=0,0.0 runner historique; tau=0.25 dans la chaîne qualifiée,Alias shell historique écrivant q6DensityRelaxationTime dans params.kv.,Conservé pour compatibilité des anciens runners. La chaîne run_ok/x7i utilise Q6_GF_DENSITY_RELAXATION_TIME=0.25.,q6DensityRelaxationTime,scripts/run_0493x5a_partial_liquid_free_surface.sh;scripts/run_0493x5b_liquid_gas_free_surface_dam_break.sh;scripts/src_mpcd_run_common_0434.sh,x7d;x7f;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_FORCE_PROJECTION_MODE,Alias script 0493x force-aware,ajout runners 0493x3–0493x5; réutilisé Q6-g-f jusqu’à x7e,enum string,selon runner; prestream_single_fused dans les runners surface libre,Alias shell écrit q6ForceProjectionMode dans le fichier params.kv généré.,Ce n’est pas un getenv du backend; la valeur canonique reste q6ForceProjectionMode. prestream_single_fused est le séquencement Q6-g-f qualifié.,q6ForceProjectionMode,scripts/run_0493x3_q6_force_projection_tg.sh;scripts/run_0493x4a_q6_force_single_tg.sh;scripts/run_0493x4b_q6_force_fusion_tg.sh;scripts/run_0493x5a_partial_liquid_free_surface.sh,x3;x7e,mise à jour 0493x3–0493x7e / Q6-g-f
Q6_GF_DENSITY_COMPRESSION_GATE_ENABLE,Alias run_ok Q6-g-f / densité signée,documenté helper commun 0493x7h; profil final x7q/x7i,booléen,0 helper générique; 1 profil x7i,Active le gate cohérent de compression dans params.kv.,La chaîne qualifiée x7q/x7i impose 1.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_DENSITY_COMPRESSION_THRESHOLD_PARTICLES,Alias run_ok Q6-g-f / densité signée,documenté helper commun 0493x7h; profil final x7q/x7i,double >=0,3.0,Convertit le seuil de compression exprimé en nombre de particules en fraction via gamma.,Donne 0.15 à gamma=20 et 0.30 à gamma=10.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_DENSITY_RELAXATION_TIME,Alias run_ok Q6-g-f / densité,documenté helper commun 0493x7h; profil final x7q/x7i,double >=0,0.25,Écrit q6DensityRelaxationTime; constante de temps physique de restauration.,Profil générique actuel et qualification signed1/x7q.,q6DensityRelaxationTime,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_DENSITY_TRACTION_GAIN,Alias run_ok Q6-g-f / densité signée,documenté helper commun 0493x7h; profil final x7q/x7i,double >=0,0.0 helper générique; 1.0 profil x7i,Écrit q6DensityRelaxationTractionGain.,La chaîne signed1 qualifiée utilise 1.0; 0 désactive exactement la branche négative.,q6DensityRelaxationTractionGain,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_DENSITY_TRACTION_THRESHOLD_PARTICLES,Alias run_ok Q6-g-f / densité signée,documenté helper commun 0493x7h; profil final x7q/x7i,double >=0,6.0,Convertit le seuil de traction/déplétion exprimé en particules en fraction via gamma.,Donne 0.30 à gamma=20 et 0.60 à gamma=10.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_EXTERNAL_SPECIES,Alias run_ok Q6-g-f / registre espèces,documenté helper commun 0493x7h; profil final x7q/x7i,booléen,0,Demande au helper de conserver un registre d’espèces fourni par le cas au lieu de synthétiser une espèce.,Utilisé par les cas explicitement multi-espèces.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_GAS_PRESSURE_REFERENCE,Alias run_ok Q6-g-f / pression gazeuse,documenté helper commun 0493x7h; profil final x7q/x7i,double >=0,gamma*kBT/cellArea si non fourni,Override la pression EOS de référence gaz utilisée par le helper lorsqu’une phase gazeuse Q6-g-f est déclarée.,"Si Q6_GF_HAS_GAS_PHASE=1, alimente les réglages x6g REFERENCE et CONSTANT; sinon sans effet.",,scripts/src_mpcd_run_common_0434.sh,x6g;x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_HAS_GAS_PHASE,Alias run_ok Q6-g-f / registre phases,documenté helper commun 0493x7h; profil final x7q/x7i,booléen,0,Déclare au helper qu’une phase gaz est présente et active la configuration x6g/x7m correspondante.,0 sur monophase TG/Poiseuille; 1 sur dam-break liquide+gaz.,,scripts/src_mpcd_run_common_0434.sh,x6g;x7f;x7h;x7i;x7m;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_MIN_FILL_FRACTION,Alias run_ok Q6-g-f / support,documenté helper commun 0493x7h; profil final x7q/x7i,"double [0,1]",0.10,Écrit speciesQ6MinOccupancyFraction pour free_surface_masked.,"Seuil de support numérique, distinct de l’interface alpha=0.5.",speciesQ6MinOccupancyFraction,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_SINGLE_PHASE_PARTICLE_MASS,Alias run_ok Q6-g-f / espèce monophase,documenté helper commun 0493x7h; profil final x7q/x7i,double >0,PARTICLE_MASS,Masse déclarée de l’espèce synthétisée.,Variable de script; pas un getenv backend.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_SINGLE_PHASE_TYPE,Alias run_ok Q6-g-f / espèce monophase,documenté helper commun 0493x7h; profil final x7q/x7i,entier type,BACKGROUND_TYPE ou 0,Type de l’espèce synthétisée par le helper monophase.,Variable de script; pas un getenv backend.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_GF_SPECIES_DIAGNOSTICS_ENABLE,Alias run_ok Q6-g-f / diagnostics espèces,documenté helper commun 0493x7h; profil final x7q/x7i,booléen texte,false,Écrit speciesDiagnosticsEnable pour le registre Q6-g-f synthétisé.,Diagnostic opt-in; la production évite la télémétrie lourde.,speciesDiagnosticsEnable,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
Q6_PRESSURE_OUTLET_DEFLATION_ENABLE,Runner 0414 / x8s ablation,ajout 0414d,booléen,true,Runner alias writing q6PressureOutletDeflationEnable.,Qualification conditioning-only ablation.,q6PressureOutletDeflationEnable,scripts/run_0414_segmented_xy_neumann_qualification.sh,x8s,curated_0414
QUAL_MODES,Runner qualification 0493x7i / sélection de modes,profil final x7q/x7i,liste/chaîne,src src-q6 src-q6-g-f,Contrôle le runner de qualification physique sans ajouter de clé backend propre.,Variable de script x7i; le runner transmet ensuite les paramètres/gates canoniques appropriés par mode. Profil gelé pour éviter le retour à des cas Poiseuille pathologiques.,,scripts/run_0493x7i_q6_g_f_physical_qualification.sh,x7i;x7q,mise à jour runner qualification 0493x7q
RECORD_FIELDS,Alias script filtered recording 0434/0436,documenté 0436,liste CSV de champs,"rho,ux,uy dans les profils 0434 récents | rho,ux,uy dans les profils récents",Sélectionne les champs enregistrés par les dumps filtrés .f32. | Alias de script pour choisir les champs dumpés par filtered_field_recorder_0432.,"Pour les comparaisons type1/type2/total, utiliser au minimum rho,ux,uy; particleTypeFilter est tracé dans manifest.kv. | À utiliser avec PARTICLE_TYPE_FILTER pour produire les comparaisons total/type1/type2.",,scripts/src_mpcd_run_common_0434.sh;src/filtered_field_recorder_0432.cpp,,session_0436_particle_type_filter_livevis
REQUIRE_MIXED_CELL_AT_END,Alias runner / validation injection,ajout/normalisé 0493w4–0493w8,booléen,false,Exige au moins une cellule contenant les deux types à la fin.,Exige speciesCellDiagnosticsEnable=true.,speciesCellDiagnosticsEnable,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
REQUIRE_VALIDATED_SEGMENTED_RESIDENT,Alias script sécurité CUDA,ajout/documenté 0426,booléen,1,Force le strict mode du chemin segmented resident 0264.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
RUN_MODES,Alias script / cas de run,existant; utilisé scripts portables,liste de modes: src; src-q6; src-resampling; src-q6-resampling,dépend du runner; src src-q6 pour les comparaisons injection/TG,"Choisit les branches d’ablation SRC, Q6 et resampling exécutées par les runners.",0493w4–0493w8: Q6 et resampling restent deux axes indépendants; la qualification Q6 initiale garde le resampling désactivé.,,scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | mise à jour 0493w8 / commit caa5b6b | src_mpcd_cuda_params_added_0337_livevis.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv
RUN_OK_DARCY_COMMON_FILLED_STATE,Alias run_ok Darcy / qualification,documenté helper commun 0493x7h; profil final x7q/x7i,booléen,0,Force un état initial rempli commun pour comparer les modes sur les cas Darcy.,x7i bend-pipe l’active afin d’isoler la réponse dynamique de la méthode.,,scripts/src_mpcd_run_common_0434.sh,x7f;x7h;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
RUN_ROOT,Runner qualification 0493x7i / racine de sortie,profil final x7q/x7i,chaîne chemin,runs/0493x7q_q6_g_f_physical_qualification,Contrôle le runner de qualification physique sans ajouter de clé backend propre.,Variable de script x7i; le runner transmet ensuite les paramètres/gates canoniques appropriés par mode. Profil gelé pour éviter le retour à des cas Poiseuille pathologiques.,,scripts/run_0493x7i_q6_g_f_physical_qualification.sh,x7i;x7q,mise à jour runner qualification 0493x7q
RUN_ZERO_REFERENCE,Alias script 0493x6g final,ajout runner 0493x6g,booléen/int 0|1,1,Contrôle l’exécution de la référence appariée pGamma=0 dans le runner dam-break final.,"Mettre 0 pour relancer seulement le cas EOS, notamment lors d’une inspection LiveVis après qu’une référence existe déjà.",,scripts/run_0493x6g_final_dam_break.sh,x6g,mise à jour 0493x6g
SCENARIO_EXPECTATION,Alias runner / validation injection,ajout/normalisé 0493w4–0493w8,empty|two_species,cohérent avec INITIAL_DOMAIN_MODE,Sélectionne le contrat du checker d’état et de diagnostic par espèce.,,,scripts/check_injection_species_0492b.py;scripts/run_ok_injection_type1_into_type2.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SCENARIOS,Alias runner / matrice TG,ajout/normalisé 0493w4–0493w8,liste de noms,mono_legacy mono_independent dual_identical,Sélectionne les scénarios de qualification TG.,,,scripts/run_0493w8_tg_mono_dual_equivalence.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SEED,Validateurs CUDA resampling — reproductibilité,lecture C++ directe dans validateurs shadow; également variable shell courante des runners,uint64,1628638,Seed des exécutables de validation CUDA resampling shadow.,La lecture getenv directe identifiée dans le C++ est limitée aux exécutables de validation CUDA resampling shadow. Le même nom est aussi utilisé comme variable shell par de nombreux runners qui l'écrivent ensuite dans les paramètres; ne pas le confondre avec un getenv du binaire de production.,,,,snap_260826_code_audit_20260826
SEEDS,Alias runner / ensemble statistique,ajout/normalisé 0493w4–0493w8,liste d’entiers,493801,Liste des graines TG à exécuter ou analyser.,Qualification finale: 493801 493802 493803.,,scripts/run_0493w8_tg_mono_dual_equivalence.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SIGMA_ACTIVE,Alias runner — tension superficielle,runner alias courant; x12 splash/JFM,double >=0,dépend du runner; x12b/x12c/x12d JFM: 392.149185; x12a splash: campagne-dépendant,Surcharge surfaceTensionSigma dans les runners capillaires/splash/JFM.,"Alias de runner, pas un champ C++ autonome. Dans le cas JFM x12d, la valeur par défaut est 392.149185 (campagne We≈514). Les calibrateurs x12cal/x12yl utilisent plutôt SIGMA_DECLARED et écrivent surfaceTensionSigma.",surfaceTensionSigma,scripts/run_0493x12b_obstacle_JFM_D320_Re649_We514.sh;scripts/run_0493x12c_obstacle_JFM_D320_Re649_We514_compactY.sh;scripts/run_0493x12d_jfm524_measurement_case.sh,x12cal;x12d;x12yl,cycle_0493x9_surface_tension + 0493x10q_surface_free + 0493x11c_validation_20260822 + snap_260826_code_audit_20260826
SPECIES_Q6_COMPARISON_TOLERANCE,Alias runner / Q6 multi-espèces,ajout/normalisé 0493w4–0493w8,double >0,1.0e-11,Écrit speciesQ6ComparisonTolerance.,Tolérance de qualification; ne modifie pas la physique.,speciesQ6ComparisonTolerance,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SPECIES_Q6_ENABLE,Alias runner / Q6 multi-espèces,ajout/normalisé 0493w4–0493w8,booléen,true dans le runner injection; selon scénario TG,Active speciesQ6Enable dans params.kv pour les modes contenant Q6.,N’active pas projectionEnable à lui seul.,projectionEnable;speciesQ6Enable,scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SPECIES_Q6_FALLBACK_MODE,Alias runner / Q6 multi-espèces,ajout/normalisé 0493w4–0493w8,common|fatal,common,Écrit speciesQ6FallbackMode.,Legacy weighted uniquement.,speciesQ6FallbackMode,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SPECIES_Q6_MIN_FILL_FRACTION,Alias script 0493x surface libre,ajout runner 0493x5a; réutilisé x5b–x7e,"double [0,1]",0.25 dans les premiers runners x5/x6; 0.10 dans les qualifications Q6-g-f x7d/x7e,Alias shell écrit speciesQ6MinOccupancyFraction dans params.kv.,"Alias shell écrit speciesQ6MinOccupancyFraction dans params.kv. Pour free_surface_masked, seuil de support absolu liquide; distinct de l’interface physique alpha=0.5.",speciesQ6MinOccupancyFraction,scripts/run_0493x5a_partial_liquid_free_surface.sh;scripts/run_0493x5b_liquid_gas_free_surface_dam_break.sh,x5a;x5b;x7e,mise à jour 0493x5a–0493x7e / Q6-g-f
SPECIES_Q6_MIN_OCCUPANCY_FRACTION,Alias runner / Q6 multi-espèces,ajout/normalisé 0493w4–0493w8,"double dans [0,1]",0.5 injection/smokes; 0.0 dual_identical,Écrit speciesQ6MinOccupancyFraction.,Le seuil 0.5 est un défaut de test; 0.0 projette chaque type partout où sa masse locale est positive.,speciesQ6MinOccupancyFraction,scripts/run_0493w5_independent_masked_periodic_smoke.sh;scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SPECIES_Q6_MODE,Alias runner / Q6 multi-espèces,ajout/normalisé 0493w4–0493w8,common|weighted|independent_masked,weighted dans le runner partagé historique; independent_masked par override/qualification,Écrit speciesQ6Mode dans params.kv.,Utiliser independent_masked pour liquide incompressible/gaz compressible; weighted reste reproductible.,speciesQ6Mode,scripts/run_0493w5_independent_masked_periodic_smoke.sh;scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SPECIES_Q6_SENSITIVITY,Alias runner / Q6 multi-espèces,ajout/normalisé 0493w4–0493w8,"double dans [0,1]",1.0 dans le runner injection,Écrit speciesQ6Sensitivity.,"Pertinent pour weighted, sans effet sur independent_masked.",speciesQ6Sensitivity,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
SPECIES_THERMOSTAT_ENABLE,Runner x14 — thermostat,alias de runner x14,booléen 0/1 ou true/false,1 dans les runners biphasés x14,Écrit speciesThermostatEnable dans params.kv.,Alias de script; la physique canonique est le paramètre params.kv speciesThermostatEnable.,speciesThermostatEnable,,,extension_x14_snapshot_030926
SRC_FILTERED_FIELD_RECORD_EVERY,Filtered field recording 0432a,ajout 0432a | mis à jour 0433a,entier > 0 si présent,absent par défaut; sinon override explicite,"Override expert de la cadence d’écriture des dumps filtrés. Si absent, recordEvery suit liveEvery.",0433a: n’est plus nécessaire pour obtenir une cadence d’enregistrement; le comportement par défaut est WYSIWYR avec recordEvery=liveEvery. Une valeur env >0 force recordEverySource=override.,,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,,session_0432_filtered_recording | session_0433a_wysiwyr
SRC_FILTERED_FIELD_RECORD_FIELDS,Filtered field recording 0432a,ajout 0432a,liste CSV de champs,current,Initialise la liste des champs à enregistrer.,"Exemples: current,ux,uy,rho,Y1. La clé control-file recordFields peut surcharger avant session.",,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,,session_0432_filtered_recording
SRC_FILTERED_FIELD_RECORDING_0432,Filtered field recording 0432a,ajout 0432a,booléen/env truthy,false/off,Alias SRC_* pour activer le recorder observation-only de champs filtrés.,Même rôle que MPCD_FILTERED_FIELD_RECORDING_0432; utile dans les scripts livevis SRC.,,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,,session_0432_filtered_recording
SRC_FILTERED_FIELD_SAMPLE_EVERY,Filtered field recording 0432a,ajout 0432a,entier >= 1,1,Initialise la cadence d’échantillonnage du recorder.,Cadence de sample des champs conservatifs; la clé control-file filterSampleEvery peut surcharger.,,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,,session_0432_filtered_recording
SRC_FILTERED_FIELD_TAU,Filtered field recording 0432a,ajout 0432a,double >= 0,0.0,Initialise filterTau du recorder avant éventuelle surcharge par livevis_control.kv.,tau=0 désactive l’EMA; la clé control-file filterTau a priorité lors des reloads.,,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,,session_0432_filtered_recording
SRC_GPU_IMMERSED_CIRCLE_FAST_DIAG_0330,Diagnostics rapides immersed circle CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides du cylindre.,À 0 pour valider les hits cylindre complets; à 1 pour réduire le coût diagnostic si disponible.,,src/cuda_immersed_circle_0284.cu,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
SRC_GPU_WALL_CIRCLE_RESIDENT_0318,Alias script / sécurité VK,ajout scripts 0331,booléen/env truthy,false/off,Alias de script pour documenter/désactiver le chemin 0318.,Ne remplace pas le garde UNSAFE. Préférer MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318=0 dans les scripts. | 0338c: le chemin performant validé est 0318 + MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_MINIMAL_DOWNLOAD_0338=1; 0318 seul reste à traiter comme chemin historique/quarantainé selon scripts.,,,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
SRC_GPU_WALL_FAST_DIAG_0320,Diagnostics rapides wall CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides wall.,Désactivé dans les oracles lorsque l’on veut des hits complets. Peut être activé pour réduire les retours diagnostics.,,src/cuda_streaming_wall_simple_0246.cu,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
SRC_LIVE_VIS_ALPHA,Live visualization runtime,ajout 0335c | précisé 0436b,"double [0,1]",0.08 scripts 0337,Lissage temporel du rendu CPU fallback.,"Le chemin CUDA field rend directement une image compacte; alpha est surtout utile au fallback CPU. | 0436b: persistance temporelle du champ affiché; alpha=1.0 donne un affichage immédiat. Le changement de field/particleTypeFilter doit réinitialiser displayScalar une frame, puis reprendre le lissage.",,src/live_visualization_0335.cpp,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv | session_0436_particle_type_filter_livevis
SRC_LIVE_VIS_CLIP,Live visualization runtime,ajout 0335c,double; <=0 auto,-1 auto,Échelle de saturation/clip couleur.,Valeur fixe utile pour comparer plusieurs runs; auto utile pour inspection rapide. | 0341a: valeur initiale seulement; peut être modifiée à chaud via livevis_control.kv si SRC_LIVE_VIS_CONTROL_FILE est défini.,,doc/livevis_runtime_control_0341a.md;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
SRC_LIVE_VIS_COLORMAP,Live visualization colormap,ajout 0342a,enum: blue_red | gray | thermal,blue_red,"Colormap consommé par le renderer livevis, y compris le chemin CUDA field 0337.",Mis à jour dans le processus lors de la relecture de livevis_control.kv lorsque la clé colormap change. Alias acceptés: grey/grayscale/greyscale -> gray; heat/hot -> thermal.,,doc/livevis_colormap_control_0342a.md;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp,,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
SRC_LIVE_VIS_CONTROL_EVERY,Live visualization runtime control,ajout 0341a,entier >= 1,1,Stride de relecture du fichier de contrôle sur les opportunités d’affichage livevis.,"Avec LIVE_VIS_EVERY=25 et CONTROL_EVERY=1, le fichier est relu à chaque frame livevis.",,src/live_visualization_0335.cpp,,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
SRC_LIVE_VIS_CONTROL_FILE,Live visualization runtime control,ajout 0341a; propagé scripts 0341b/0341d,chemin fichier .kv,vide/off si non fourni,Chemin du fichier livevis_control.kv relu à chaud par le binaire pour modifier field/clip/gain/smoothPasses/colormap sans redémarrage.,Le chemin recommandé est fourni par les scripts depuis LIVE_VIS_CONTROL_FILE_EFFECTIVE. Les logs de reload sont écrits dans le fichier .time.,,doc/livevis_runtime_control_0341a.md;doc/livevis_runtime_control_0341b_scripts.md;src/live_visualization_0335.cpp,,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
SRC_LIVE_VIS_CONTROL_LOG,Live visualization runtime control,ajout 0341a,booléen/env truthy,1 dans scripts 0341b/0341d,Active les lignes de diagnostic [livevis0335] control reload dans stderr/.time.,Très utile pour vérifier que le fichier est bien relu et que field/clip/gain/smoothPasses/colormap changent.,,src/live_visualization_0335.cpp,,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
SRC_LIVE_VIS_CUDA_FIELD,Live visualization CUDA field renderer,ajout 0337a,booléen/env truthy,0 code; 1 scripts 0337,Active le rendu de champ sur GPU avec téléchargement RGBA compact.,Chemin recommandé pour visualiser resampling sans host mirror lent. Transfert typique 300×80×4 octets/frame. | 0342a: le chemin CUDA field utilise désormais SRC_LIVE_VIS_COLORMAP pour la projection scalaire -> RGBA.,,include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/main_src_mpcd_base.cpp,,src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
