canonical_name,category,status,expected_type,default_value,constraints,effect_role,remarks,kv_keys,cpp_fields,aliases,runner_variables,source_paths,milestones,source_inventory
speciesQ6AlphaEpsilon,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–0493w8,double,1.0e-14,fini et >0.,Seuil de dégénérescence de la moyenne de force Q6 dans le mode weighted.,Utilisé avec speciesQ6FallbackMode; ne définit pas le support independent_masked.,speciesQ6AlphaEpsilon,speciesQ6AlphaEpsilon,,,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,,delta params 0491–0493w8 / branche surf commit caa5b6b
speciesQ6ComparisonTolerance,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–0493w8,double,1.0e-11,fini et >0.,Tolérance des comparaisons CPU/CUDA et des contrats de qualification Q6 par espèce.,Ne modifie pas le solveur physique.,speciesQ6ComparisonTolerance,speciesQ6ComparisonTolerance,,SPECIES_Q6_COMPARISON_TOLERANCE,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,,delta params 0491–0493w8 / branche surf commit caa5b6b
speciesQ6Enable,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–0493w8,booléen,false,true/1/yes/on ou false/0/no/off.,Active la distribution ou les solveurs Q6 sensibles aux espèces.,Exige speciesRegistryEnable=true et une projection Q6 active; n’active ni Q6 ni le resampling implicitement.,speciesQ6Enable,speciesQ6Enable,,SPECIES_Q6_ENABLE,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,,delta params 0491–0493w8 / branche surf commit caa5b6b
speciesQ6FallbackMode,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–0493w8,enum string,common,common; fatal.,Choisit le repli du mode weighted lorsque la normalisation est dégénérée.,Legacy weighted uniquement; independent_masked n’utilise aucun fallback=common.,speciesQ6FallbackMode,speciesQ6FallbackMode,,SPECIES_Q6_FALLBACK_MODE,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,,delta params 0491–0493w8 / branche surf commit caa5b6b
speciesQ6MinOccupancyFraction,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–w8 puis Q6-g-f jusqu’à 0493x7q,double,0.5,"fini dans [0,1].",Seuil de support des modes Q6 masqués; sens dépend du mode.,independent_masked: seuil relatif d’espèce. free_surface_masked: seuil absolu liquide M_liq/M_ref. Le défaut canonique reste 0.5; le profil Q6-g-f final utilise 0.10. x7m distingue explicitement ce support numérique de l’interface alpha=0.5 et supprime l’interface fictive lorsqu’aucun gaz n’est enregistré.,speciesQ6MinOccupancyFraction,speciesQ6MinOccupancyFraction,,Q6_GF_MIN_FILL_FRACTION;SPECIES_Q6_MIN_FILL_FRACTION;SPECIES_Q6_MIN_OCCUPANCY_FRACTION,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;doc/README_0493X5A_PARTIAL_LIQUID_FREE_SURFACE.md;doc/README_0493X6F_PHASE_INTERFACE_STENCIL.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,x5a;x7m;x7q,mise à jour 0493x5a–0493x7q / Q6-g-f
speciesQ6Mode,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–0493w8 puis 0493x5a–0493x6g,enum string,common,common; weighted; independent_masked; free_surface_masked.,Sélectionne l’opérateur Q6 multi-espèces / surface libre.,"common/weighted conservent une projection barycentrique unique; independent_masked résout un problème masqué distinct par espèce. free_surface_masked (0493x5a+) projette le liquide sur un support de remplissage absolu; le chemin actuellement qualifié requiert q6ForceProjectionMode=prestream_single_fused, une boîte fermée statique et exactement une espèce projetée. x6f/x6g séparent ensuite interface alpha=0.5, carrier et valeur de pression interfaciale.",speciesQ6Mode,speciesQ6Mode,,KINETIC_REFLECTION_FRACTION;MPCD_CUDA_Q6_RESIDENT_0400;MPCD_CUDA_Q6_RESIDENT_SRC_IO_FULLFACE_0404;MPCD_CUDA_Q6_RESIDENT_SRC_IO_SEGMENTED_0409;MPCD_CUDA_Q6_RESIDENT_SRC_STEP_0401;MPCD_CUDA_Q6_RESIDENT_SRC_WALL_STEP_0402;MPCD_CUDA_Q6_RESIDENT_STRICT_0400;MPCD_CUDA_Q6_RESIDENT_THERMOSTAT_0400;SPECIES_Q6_MODE,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;doc/README_0493X5A_PARTIAL_LIQUID_FREE_SURFACE.md;doc/README_0493X5B_LIQUID_GAS_FREE_SURFACE.md;doc/README_0493X6F_PHASE_INTERFACE_STENCIL.md;doc/README_0493X6G_PHASE_GAS_PRESSURE.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,x5a;x6f;x6g,delta params 0491–0493w8 / branche surf commit caa5b6b | mise à jour 0493x5a–0493x6g
speciesQ6Sensitivity,Multi-espèces — projection Q6,ajout 0491; étendu 0493w5–0493w8,double,0.0,"fini dans [0,1].",Règle l’intensité de la différenciation des poids du mode weighted.,Sans effet sur independent_masked; eta=0 redonne common.,speciesQ6Sensitivity,speciesQ6Sensitivity,,SPECIES_Q6_SENSITIVITY,doc/README_0493W5_INDEPENDENT_MASKED_Q6_STAGE1.md;doc/README_0493W6_INDEPENDENT_MASKED_POSTAPPLY_DIAGNOSTIC.md;doc/README_0493W7_INDEPENDENT_MASKED_Q6_MULTIBC.md;include/q6_species_distribution_0491a.h;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/q6_species_distribution_0491a.cpp,,delta params 0491–0493w8 / branche surf commit caa5b6b
speciesRegistryEnable,Multi-espèces — registre,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active le registre reliant les valeurs de type aux espèces et familles de phase.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesRegistryEnable,speciesRegistryEnable,,,doc/README_0490A_SPECIES_REGISTRY_SCAFFOLD.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesRequireRegisteredTypes,Multi-espèces — registre,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Refuse tout type Fluid/Latent non enregistré; les slots Inactive sont exclus.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesRequireRegisteredTypes,speciesRequireRegisteredTypes,,,doc/README_0490A_SPECIES_REGISTRY_SCAFFOLD.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingCudaResidentDepositsEnable,Multi-espèces — chemin CUDA résident,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Remplace les dépôts pondérés CPU par les dépôts résidents 0490h/0490n.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingCudaResidentDepositsEnable,speciesResamplingCudaResidentDepositsEnable,,,doc/README_0490N_CUDA_SPECIES_RESIDENT_MAINTENANCE.md;doc/README_0490P_DEVICE_CELL_POLICY_ZERO_CPU.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingCudaResidentFastPathEnable,Multi-espèces — chemin CUDA résident,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active le passage direct plan CUDA vers matérialisation et mutation résidente 0490m.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingCudaResidentFastPathEnable,speciesResamplingCudaResidentFastPathEnable,,,doc/README_0490M_CUDA_SPECIES_RESIDENT_FAST_PATH.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingCudaResidentMaintenanceStrict,Multi-espèces — chemin CUDA résident,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Interdit tout fallback CPU de maintenance et impose les composants résidents.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingCudaResidentMaintenanceStrict,speciesResamplingCudaResidentMaintenanceStrict,,,doc/README_0490N_CUDA_SPECIES_RESIDENT_MAINTENANCE.md;doc/README_0490P_DEVICE_CELL_POLICY_ZERO_CPU.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingCudaResidentPoolEnable,Multi-espèces — chemin CUDA résident,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Remplace la reconstruction CPU du pool par les listes de rôles CUDA résidentes.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingCudaResidentPoolEnable,speciesResamplingCudaResidentPoolEnable,,,doc/README_0490N_CUDA_SPECIES_RESIDENT_MAINTENANCE.md;doc/README_0490P_DEVICE_CELL_POLICY_ZERO_CPU.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingCudaResidentValidationEnable,Multi-espèces — chemin CUDA résident,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active la porte stricte 0490l sans plan/opérations CPU de secours.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingCudaResidentValidationEnable,speciesResamplingCudaResidentValidationEnable,,,doc/README_0490A_SPECIES_REGISTRY_SCAFFOLD.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingMassClosureCudaEnable,Multi-espèces — fermeture de masse,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Exécute la fermeture multi-espèces sur l’état CUDA partagé.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingMassClosureCudaEnable,speciesResamplingMassClosureCudaEnable,,,doc/README_0490I_CUDA_SPECIES_MASS_CLOSURE.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingMassClosureEnable,Multi-espèces — fermeture de masse,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active la fermeture de masse dépendante de la composition.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingMassClosureEnable,speciesResamplingMassClosureEnable,,,doc/README_0490I_CUDA_SPECIES_MASS_CLOSURE.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingPopulationGuardCudaEnable,Multi-espèces — garde de population,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active la sélection d’espèce dans le garde de population CUDA 0297.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingPopulationGuardCudaEnable,speciesResamplingPopulationGuardCudaEnable,,,doc/README_0490J_CUDA_SPECIES_POPULATION_GUARD.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingPopulationGuardEnable,Multi-espèces — garde de population,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active la sélection d’espèce du garde de population CPU.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingPopulationGuardEnable,speciesResamplingPopulationGuardEnable,,,doc/README_0490E_SPECIES_POPULATION_GUARD.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingTransferCudaEnable,Multi-espèces — transferts donneur/receveur,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active le plan natif CUDA de transferts contraints par type.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingTransferCudaEnable,speciesResamplingTransferCudaEnable,,,doc/README_0490K_CUDA_SPECIES_TRANSFER_PLAN.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesResamplingTransferEnable,Multi-espèces — transferts donneur/receveur,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active le plan CPU de transferts donneur–receveur contraint par type.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesResamplingTransferEnable,speciesResamplingTransferEnable,,,doc/README_0490G_SPECIES_DONOR_RECEIVER_TRANSFERS.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesThermostatEnable,Thermostat — multi-espèces x14,ajout 0493x14a; actif dans la chaîne liquide/gaz x14,booléen,false,"true requiert thermostatEnable=true, registre d’espèces non vide, speciesRequireRegisteredTypes=true et une cible kBT positive finie résolue pour chaque espèce | mêmes gardes que la clé params",Conserve la collision SRC commune au mélange mais applique ensuite une remise à température séparée par type enregistré. | Champ SimulationParams activant le thermostat séparé par espèce.,"Opt-in; false préserve le chemin thermostat all-fluid historique. En CUDA résident, le workspace cellulaire est réutilisé successivement par espèce. | Audit x14ai-fix1 04/09/2026: sémantique params inchangée; aucune nouvelle clé params.kv introduite par x14y--x14ai-fix1. | Défaut false pour non-régression.",speciesThermostatEnable,speciesThermostatEnable,,SPECIES_THERMOSTAT_ENABLE,include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/src_collision.cpp;src/thermostat.cpp,x14ai;x14ai-fix1;x14y,extension_x14_snapshot_030926 | audit_snap_040926_x14ai_fix1_20260904
speciesTransferCudaComparisonTolerance,Multi-espèces — transferts donneur/receveur,ajout 0490a–0490p,double,1.0e-11,fini et >=0.,Tolérance de comparaison du plan CPU/CUDA.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesTransferCudaComparisonTolerance,speciesTransferCudaComparisonTolerance,,,doc/README_0490K_CUDA_SPECIES_TRANSFER_PLAN.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
speciesTransferCudaDiagnosticsFilename,Multi-espèces — dépôt et diagnostics,ajout 0490a–0490p,chaîne,cuda_species_transfer_plan_0490k.csv,,Nom du CSV de plan de transfert CUDA.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,speciesTransferCudaDiagnosticsFilename,speciesTransferCudaDiagnosticsFilename,,,doc/README_0490K_CUDA_SPECIES_TRANSFER_PLAN.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
srcClassicCudaModeEnable,CUDA — mode SRC classic,existant catalogue 0292 | alias accepté | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,"Sélecteur .kv du chemin SRC/MPCD classic, séparé de la fermeture liquide. | Active le mode SRC classic complet; en CUDA 0286, le chemin classic full CUDA est la voie principale validée.",Force le mode SRC classic complet: advection/streaming + shift + collision/rotation + thermostat. Court-circuite les fermetures Q6/resampling/viriel dans le driver; à utiliser pour les démos/validations classic CUDA 0275–0286.,srcClassicCudaModeEnable;classicSrcCudaMode;classicSrcCudaModeEnable;classicSrcModeEnable,srcClassicCudaModeEnable,classicSrcCudaMode;classicSrcCudaModeEnable;classicSrcModeEnable,,doc/GPU_SRC_CLASSIC_CUDA_STATUS_0286.md;include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
StateInit.initialInactiveSlots,État particulaire / pool inactif,documenté 0426,entier,0 ou fonction de gamma*Nx*Ny,>=0,Réserve des slots inactifs dans l’état initial pour injection/remplissage.,Particulièrement utile dans les scripts segmentés Darcy avec reservoir/inlet.,initialInactiveSlots,,INACTIVE_SLOTS,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
summaryEvery,I/O et exécution,existant catalogue 0292 | canonique,entier,10,entier > 0,Cadence d’écriture de summary_runtime.csv et d’affichage de progression.,,summaryEvery,summaryEvery,,MPCD_X10L_PREWALL_INTERFACE_DIAGNOSTICS,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
summaryRoleFilter,Summaries runtime | Sorties compactes — aliases rôle,ajout 0314 | alias accepté; complété inventaire 0490p,all|fluid | chaîne,all dans le cœur; fluid dans scripts visuels | all,,Contrôle si les summaries parcourent tous les slots ou un état compact fluide. | Alias de summaryRoleFilter.,fluid réduit le coût lorsque INACTIVE_SLOTS est grand. | Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,summaryParticleRoleFilter,,summaryRoleFilter,SUMMARY_ROLE_FILTER,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_params_delta_0314.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv | delta parseur 0437–0490p / branche surf commit 36abd23
surfaceTensionMinRadiusCells,Q6-G-F — tension superficielle / interface,"0493x9r actif; choix de campagne x12 (JFM/x12yl=4, x12cal=3) | alias parser accepté; choix de campagne x12",double fini >= 0,0.0,">=0; 0 = no-op; valeur numérique de résolution, non constante physique universelle | >=0; 0 = no-op; recommandé actuel 3 pour les cas x9r",Rayon minimal résolu en cellules pour la courbure utilisée uniquement dans sigma*kappa.,"0493x9r: kappaLimit=1/(N_R*min(dx,dy)); le clip agit sur la courbure utilisée dans sigma*kappa, pas sur le champ brut. Le défaut struct reste 0.0. Il n'existe plus de 'choix 3' universel: x12b/x12c/x12d JFM et x12yl utilisent 4 par défaut; x12cal dynamique et certains anciens runners splash x12a utilisent 3.",surfaceTensionMinRadiusCells;q6GfSurfaceTensionMinRadiusCells,surfaceTensionMinRadiusCells,q6GfSurfaceTensionMinRadiusCells,SURFACE_TENSION_MIN_RADIUS_CELLS,include/simulation_params.h;scripts/run_0493x12cal_capillary_calibrator.sh;scripts/run_0493x12d_jfm524_measurement_case.sh;scripts/run_0493x12yl_young_laplace_calibrator.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x10q;x11c;x12a;x12b;x12c;x12cal;x12d;x12yl;x8k;x8t;x9d;x9r,cycle_0493x8k_x8t + 0493x9d_x9r + 0493x10q_x11c_surface_tension_20260822 + snap_260826_code_audit_20260826 | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819 + snap_260826_code_audit_20260826
surfaceTensionSigma,Q6-G-F — tension superficielle / interface,0493x9d actif; calibration mécanique x12yl + calibration dynamique séparée x12cal; utilisé JFM x12d | alias parser accepté de surfaceTensionSigma; actif,double fini >= 0,0.0,>=0; 0 = no-op exact,Coefficient de tension superficielle utilisé dans le saut de Laplace p_A-p_B=sigma*kappa sur l’interface Q6-G-F.,"0493x9d: saut de Laplace via phiGamma_cap=dt*sigma*kappa/rhoARef, sans force CSF/kick particulaire direct. État x12: distinguer strictement la calibration mécanique/statique x12yl (Young-Laplace apparié sigma>0/sigma=0 avec courbure mesurée) de la dispersion dynamique des ondes x12cal. Le script x12yl définit sigma_eff comme propriété mécanique scalaire; la dispersion capillaire n'est pas à replier automatiquement dans une renormalisation unique de sigma. Le benchmark JFM x12d écrit directement surfaceTensionSigma depuis SIGMA_ACTIVE. | Alias parser exact. Même physique et mêmes distinctions x12yl (mécanique/statique) vs x12cal (dynamique) que surfaceTensionSigma.",surfaceTensionSigma;q6GfSurfaceTensionSigma,surfaceTensionSigma,q6GfSurfaceTensionSigma,SIGMA_ACTIVE,include/simulation_params.h;scripts/analyze_0493x12yl_young_laplace_calibrator.py;scripts/run_0493x12cal_capillary_calibrator.sh;scripts/run_0493x12d_jfm524_measurement_case.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x10q;x11c;x12cal;x12d;x12yl;x8k;x8t;x9d;x9r,cycle_0493x8k_x8t + 0493x9d_x9r + 0493x10q_x11c_surface_tension_20260822 + snap_260826_code_audit_20260826 | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819 + snap_260826_code_audit_20260826
targetMeanUx,Forçage et contrôle d’écoulement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Vitesse moyenne cible en x.,Pris en compte si keepMeanFlowEnable=true.,targetMeanUx;U0;meanFlowUx,targetMeanUx,U0;meanFlowUx,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
targetMeanUy,Forçage et contrôle d’écoulement,existant catalogue 0292 | alias accepté | canonique,double,0.0,nombre réel fini,Vitesse moyenne cible en y.,Pris en compte si keepMeanFlowEnable=true.,targetMeanUy;meanFlowUy,targetMeanUy,meanFlowUy,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingAmplitude,Forçage Taylor–Green,existant catalogue 0292 | canonique | alias accepté,double,0.0,>= 0,Amplitude A du forçage Taylor–Green.,Utilisé seulement si taylorGreenForcingEnable=true.,taylorGreenForcingAmplitude;tgForceAmplitude;tgForcingAmplitude,taylorGreenForcingAmplitude,tgForceAmplitude;tgForcingAmplitude,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingEnable,Forçage Taylor–Green,existant catalogue 0292 | canonique | alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active un forçage corporel périodique divergence-free de type Taylor–Green.,Restreint aux domaines périodiques x et y.,taylorGreenForcingEnable;tgForcingEnable,taylorGreenForcingEnable,tgForcingEnable,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
taylorGreenForcingModeX,Forçage Taylor–Green,existant catalogue 0292 | canonique | alias accepté,entier,1,> 0,Nombre d’onde entier en x du forçage Taylor–Green.,Utilisé seulement si taylorGreenForcingEnable=true.,taylorGreenForcingModeX;tgForcingModeX,taylorGreenForcingModeX,tgForcingModeX,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
